id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
ts2158,Eastbound & Down,SHOW,2009,TV-MA,28,"['comedy', 'drama', 'sport']",['US'],8.3,59737
ts10095,Adventure Time,SHOW,2010,TV-PG,13,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",['US'],8.6,98833
tm89663,The Notebook,MOVIE,2004,PG-13,123,"['romance', 'drama']",['US'],7.8,582145
tm48297,Spirited Away,MOVIE,2001,PG,125,"['fantasy', 'animation', 'family']",['JP'],8.6,776242
ts22236,Pushing Daisies,SHOW,2007,TV-PG,46,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",['US'],8.4,57775
ts21654,Six Feet Under,SHOW,2001,TV-MA,60,"['drama', 'comedy']",['US'],8.7,137520
tm39030,Casino Royale,MOVIE,2006,,144,"['thriller', 'action', 'european']","['CZ', 'DE', 'GB', 'BS']",8,665621
tm151348,Fantastic Mr. Fox,MOVIE,2009,PG,87,"['action', 'animation', 'comedy', 'family', 'crime', 'drama']",['US'],7.9,239381
ts22463,The Venture Bros.,SHOW,2004,TV-MA,23,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",['US'],8.6,26514
tm81358,The Assassination of Jesse James by the Coward Robert Ford,MOVIE,2007,R,160,"['drama', 'western', 'history', 'crime']","['US', 'CA', 'GB']",7.5,185428
tm83018,Napoleon Dynamite,MOVIE,2004,PG,95,['comedy'],['US'],6.9,225155
ts21440,The Pacific,SHOW,2010,TV-MA,54,"['action', 'war', 'drama', 'history']",['US'],8.3,115400
tm108160,The Bourne Identity,MOVIE,2002,PG-13,119,"['drama', 'thriller', 'action']","['DE', 'CZ', 'US']",7.9,553614
tm172683,War of the Worlds,MOVIE,2005,PG-13,116,"['thriller', 'scifi', 'action']",['US'],6.5,455970
tm115982,The Lord of the Rings: The Two Towers,MOVIE,2002,PG-13,179,"['action', 'fantasy', 'drama']","['NZ', 'US']",8.8,1684864
tm26292,Little Miss Sunshine,MOVIE,2006,R,101,"['drama', 'comedy']",['US'],7.8,489789
tm142381,The Lord of the Rings: The Return of the King,MOVIE,2003,PG-13,201,"['fantasy', 'action', 'drama']","['NZ', 'US']",9,1865989
tm133067,Moon,MOVIE,2009,R,97,"['drama', 'scifi']","['US', 'GB']",7.8,363971
tm167206,Batman Begins,MOVIE,2005,PG-13,140,"['drama', 'crime', 'action']","['US', 'GB']",8.2,1486740
ts22027,Gossip Girl,SHOW,2007,TV-14,42,"['drama', 'thriller', 'romance']",['US'],7.4,167534
tm2193,(500) Days of Summer,MOVIE,2009,PG-13,95,"['romance', 'comedy', 'drama']",['US'],7.7,524841
ts21788,Real Time with Bill Maher,SHOW,2003,TV-MA,60,['comedy'],['US'],7.4,13840
tm51064,Training Day,MOVIE,2001,R,122,"['crime', 'drama', 'action', 'thriller']",['US'],7.7,444894
ts20562,The Middle,SHOW,2009,TV-PG,21,"['comedy', 'family']",['US'],7.6,50759
tm47756,Kung Fu Panda,MOVIE,2008,PG,90,"['comedy', 'animation', 'action', 'family', 'fantasy', 'drama']",['US'],7.6,481235
ts17942,Chappelle's Show,SHOW,2003,TV-14,21,"['comedy', 'music']",['US'],8.8,66715
tm79928,Howl's Moving Castle,MOVIE,2004,PG,119,"['fantasy', 'animation', 'action', 'drama', 'family']",['JP'],8.2,403711
ts580,The Closer,SHOW,2005,TV-MA,49,"['crime', 'drama']",['US'],7.8,26817
tm136410,District 9,MOVIE,2009,R,112,"['scifi', 'thriller', 'action']","['NZ', 'ZA', 'US']",7.9,689611
tm93423,Before Sunset,MOVIE,2004,R,80,"['drama', 'romance']",['US'],8.1,269980
tm144250,Master and Commander: The Far Side of the World,MOVIE,2003,PG-13,138,"['drama', 'action', 'war', 'history']",['US'],7.4,225858
ts21860,Pretty Little Liars,SHOW,2010,TV-14,45,"['drama', 'thriller', 'romance']",['US'],7.4,170380
tm45399,Burn After Reading,MOVIE,2008,R,96,"['comedy', 'drama', 'thriller', 'crime']","['US', 'GB', 'FR']",7,338359
ts21749,One Tree Hill,SHOW,2003,TV-14,48,"['drama', 'romance', 'sport']",['US'],7.8,82467
ts21804,The O.C.,SHOW,2003,TV-14,43,"['drama', 'comedy', 'romance']",['US'],7.5,91496
tm145677,Watchmen,MOVIE,2009,R,162,"['action', 'thriller', 'scifi', 'drama']",['US'],7.6,558627
ts21507,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,24,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",['US'],8.1,14274
tm85291,DodgeBall: A True Underdog Story,MOVIE,2004,PG-13,92,"['comedy', 'sport', 'european']","['DE', 'US']",6.7,255173
tm139029,Jennifer's Body,MOVIE,2009,R,107,"['comedy', 'horror']",['US'],5.4,139296
tm145035,"I Love You, Man",MOVIE,2009,R,103,"['comedy', 'romance']",['US'],7,209948
tm89991,Sideways,MOVIE,2004,R,126,"['comedy', 'drama', 'romance']","['HU', 'US']",7.5,194752
tm31389,Speed Racer,MOVIE,2008,PG,135,"['action', 'comedy', 'drama', 'family', 'scifi', 'sport', 'european']","['US', 'DE']",6,75175
tm35465,Black Hawk Down,MOVIE,2002,R,144,"['action', 'drama', 'history', 'war']","['GB', 'US']",7.7,402796
tm173562,Constantine,MOVIE,2005,R,116,"['horror', 'fantasy', 'action']","['DE', 'US']",7,353286
tm85922,Knocked Up,MOVIE,2007,,129,"['romance', 'drama', 'comedy']",['US'],6.9,374088
tm78592,Michael Clayton,MOVIE,2007,R,120,"['drama', 'thriller', 'crime']",['US'],7.2,168519
ts21532,Rizzoli & Isles,SHOW,2010,TV-14,43,"['drama', 'crime']",['US'],7.6,35158
tm54060,Slumdog Millionaire,MOVIE,2008,R,120,"['drama', 'romance', 'crime']","['GB', 'US', 'FR']",8,852953
ts8782,Carnivàle,SHOW,2003,TV-MA,52,"['scifi', 'thriller', 'drama', 'fantasy']",['US'],8.4,45429
tm139536,Mystic River,MOVIE,2003,R,138,"['drama', 'thriller', 'crime']",['US'],7.9,463362
tm112965,Ghost Ship,MOVIE,2002,R,91,"['horror', 'thriller', 'european']","['AU', 'US']",5.5,103310
tm108332,Insomnia,MOVIE,2002,R,118,"['thriller', 'documentation', 'drama']",['US'],7.2,300142
